output_file,column,unit,description
eckert_model.json,plr_lowpass_hz,Hz,Corte do passa-baixa que modela a latência do PLR.
eckert_model.json,rmse_mm,mm,Erro RMS do ajuste (observado vs predito).
eckert_model.json,r2,adimensional,R² do ajuste do modelo.
eckert_model.json,calibrated,booleano,Se usou calibração por participante.
fixations.csv,start_s,s,Início da fixação (algoritmo I-DT sobre a direção do olhar).
fixations.csv,end_s,s,Fim da fixação.
fixations.csv,duration_s,s,Duração da fixação.
fixations.csv,dispersion_deg,graus,Dispersão angular da fixação (amplitude do olhar dentro da janela).
fixations.csv,target,texto,Alvo/AOI predominante durante a fixação.
fixations.csv,activity,texto,Atividade durante a fixação.
fixations.csv,saccade_amplitude_deg,graus,Amplitude angular da sacada até a fixação seguinte.
dwell_by_target.csv,target,texto,"Nome do alvo (máquina, item ou painel)."
dwell_by_target.csv,category,texto,Categoria do alvo (tutorial/machine/item/support/task).
dwell_by_target.csv,dwell_s,s,Tempo total de fixação acumulado no alvo.
dwell_by_target.csv,n_visits,contagem,Número de visitas distintas ao alvo.
dwell_by_target.csv,dwell_pct,%,dwell_s como % da duração da sessão.
confusion_episodes.csv,mean_transition_entropy_bits,bits,Entropia de transição média no episódio (Krejtz 2015).
confusion_episodes.csv,mean_k_coefficient,z-score,Coeficiente K médio no episódio (negativo = busca ambiente).
confusion_episodes.csv,mean_confusion_score,0-1,Score contínuo médio de confusão no episódio.
data_quality.json,valid_gaze_pct,%,Percentual de frames com gaze válido (IsTracking).
data_quality.json,blink_pct,%,Percentual de frames marcados como piscada.
data_quality.json,valid_pupil_pct,%,Percentual de frames com ambos os diâmetros pupilares válidos.
data_quality.json,n_tracking_gaps,contagem,Número de lacunas de rastreamento (sequências inválidas).
data_quality.json,max_gap_s,s,Maior lacuna contínua de rastreamento.
data_quality.json,total_gap_s,s,Tempo total sem rastreamento válido.
